DHCNN,Đại học Công nghiệp
DHCN,Đại học Công nghiệp
ĐHCN,Đại học Công nghiệp
IUH,Đại học Công nghiệp
TP,Thành phố
HCM,Hồ Chí Minh
TPHCM,Thành phố Hồ Chí Minh
TP.HCM,Thành phố Hồ Chí Minh
CNTT,Công nghệ thông tin
KHMT,Khoa học máy tính
KTPM,Kỹ thuật phần mềm
HTTT,Hệ thống thông tin
KHDL,Khoa học dữ liệu
KCNTT,Khoa Công nghệ thông tin
DT,Đào tạo
ĐT,Đào tạo
SV,Sinh viên
GV,Giảng viên
CTCT,Công tác chính trị
CTSV,Công tác sinh viên
TSV,Tân sinh viên
HK,Học kỳ
LHP,Lớp học phần
HP,Học phần
DH,Đại học
ĐH,Đại học
CD,Cao đẳng
CĐ,Cao đẳng
DKHP,Đăng ký học phần
ĐKHP,Đăng ký học phần
GDĐT,Bộ giáo dục và đào tạo
GDDT,Bộ giáo dục và đào tạo
THPT,Trung học phổ thông
TNCS,Thanh niên cộng sản
UBND,Ủy ban nhân dân
